Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
"7116
6466
";56;"Собрание 2004 № 1, 
Собрание 2007 №1, 2, 3, 4, 2, 
Собрание 2008 № 1,2,3,4, 
Собрание 2009 № 1,2,3,4, 
Собрание 2010 № 1,2,3,4, 
Собрание 2011 № 1,4,2,3,
Собрание 2012 № 1,2,3,4
Собрание 2013 № 1,2,3,4
Собрание 2014 № 1,2,3,4
Собрание 2005 № 1, 2006 №3, 2015 №2,1 
Собрание искусства и культура 2017 №1,2, 2018 № 3,4, 5, 
Советская архитектура 1931 № 4
Советская архитектура 1931/1932/1934
Советский балет 1988 № 3,1989 № 6, 1991 №3, 5, 6,4, 
Советский театр 1983 № 1-3 (2 экз), 4 
Советская музыка 1990 № 7-9
Советская музыка 1972 №9-10

";"Суслова Е.В.
Евдокимова Л.В.
26.07.23
"
5000;34;"Советская эстрада и цирк 1963 №1-6, 1964
№1-6, 7-12, 1965 №1-6, 7-12, 1966 1-6, 7-12, 1967
№ 1-6, 7-12,   1968 №1-6, 7-12, 1969 № 7-12, 1-6,
1970 № 1-6, 7-12, 1971 № 1-6, 7-12, 1972 № 1-6, 7-
12, 1973 №1-6, 7-12, 1974 № 1-12,  1975 № 1-12,
1976 № 1-12, 1977 № 1-12, 1978 № 1-6, 7-12, 1979
№ 1-6, 7-12, 1980 № 1-6, 7-12, 1981 № 1-6, 7-12,
1982 1-6";"Евдокимова Л. В.,
Чевычалова С.Н."
5001;51;"Советская эстрада и цирк 1982 № 7-12, 1983 №
1-6, 7-12, 1984 № 1-6, 7-12, 1985 № 1-6, 7-12, 1986
№1-6, 7-12, 1987 № 1-6, 7-12, 1988 № 1-6, 7-12,
1991 № 5-12, 2, 4, 5, 6, 7, 8, 10, 11, 12,
Советский балет 1989 № 1-5,
Советский театр 1935 № 1, 2-3,4, 5-6, 7, 8, 9, 10
,11-12,
Советский театр 1936 № 1,2, 3, 4-5, 6, 7, 8, 9, 10,
11, 12,
Советский кинофильм 1940
Советский музей 1990 № 1-3, 1991 № 1-6,
Советский театр 1930 № 1-16, 1-16, 1-16, 3-4,";"Евдокимова Л. В.,
Чевычалова С.Н."
"7139
6489";16;"Советский Союз. 1968. № 1 – 12, 1969. № 1-
12; 1970, № 1 -12; 1971, № 1 – 12; 1972, № 1 –
12; 1973, № 1 – 12; 1974, № 1 – 12; 1975, № 1 –
12;";"Шкурина,
Акименко, 24.07.
2023"
5002;99;"Советский театр 1931 № 1-12, 1-12, 1,2-3, 4, 5-6, 7, 8, 9, 10-11, 12, 
Советский театр 1932 № 1,2, 3, 4, 5, 6, 7-8, 9, 12, 10-11, 1-12, 1-12, 
Советский театр 1933 № 1, 2-3, 1-3, 
Советский театр 1935 № 1-12 / 1936 № 1-6
Советский театр 1935 № 1-12,
Советский театр 1936 № 1-6, 7-12, 12, 4-5, 7-12,
Советский театр 1984 № 1-4, 1-4,
Советское кино 1926 № 1, 2, 3, 4-5, 6-7, 8, 
Советское кино 1927 № 1, 2, 3, 4, 5-6, 12, 8-9,
Советское кино 1928 № 2-3, 1
Справочник директора театра, музея, библиотеки, концертной организации и выставочного зала 2014 № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12,  
2015 № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 
2016 № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2013 № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
";Евдокимова Л. В., Чевычалова С.Н.
5003;58;"Советский театр 1985 № 1-4, 1-3/4,
Советский театр 1986 № 1-7/ 1987 № 1-4, 1-4, 1-3/4, 
Советский театр 1987 № 2-4, 2-4, 
Советский театр 1988 № 1-4, 2-4, 
Советский театр 1989 № 1-3, 1-4, 
Советский театр 1990 № 1-3, 1-3,
Советский цирк 1957 № 1-3, 
Советский цирк 1958 № 1-6, 7-12, 
Советский цирк 1959 № 1-6, 7-12, 
Советский цирк 1960 № 1-6, 7-12,
Советский цирк 1961 № 1-6, 7-12, 
Советский цирк 1962 № 1-6, 7-12, 
Советский цирк 1963 № 1-6, 
Советский экран 1926 № 1, 8, 9, 10,11,12, 16, 17-18, 19, 20, 21,22, 24, 26, 25, 27, 28, 29, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 47, 48, 49, 51/52


";Евдокимова Л. В., Чевычалова С.Н.
5505;46;"Советский экран 1926 № 27-32/34-52
Советский экран 1929 № 1-32-37, 
Советский экран 1957 № 1-12, 13-24, 
Советский экран 1958 № 1-6, 7-12, 13-18, 19-24,
Советский экран 1959 № 1-12, 13-24, 
Советский экран 1978 № 1-6, 7-12, 13-24, 
Советский экран 1979 № 1-6, 13-18, 19-24, 
Советский экран 1980 № 19-24, 1-6, 7-18, 
Советский экран 1981 № 1-12
Современная библиотека 2019 № 2,9,8,5,6,7,
Современная библиотека 2020 № 1,2,3, 4,5, 6, 7, 8, 9, 10, 
Современная библиотека 2021 № 1, 2, 3, 4, 5, 6, 7, 8,9, 10
";Евдокимова Л. В., Чевычалова С.Н.
"7118
6468";44;"Советский экран 1961 №19-24
Советский экран 1962 №1-12, 13-24
Советский экран 1963 №1-12, 
Советский экран 1925 №1-20-22-39
Советское кино 1927 № 7, 1-9, 
Советское кино 1928 № 1-3, 
Советское кино 1926 № 4-5, 3 , 1-8, 
Советское кино 1934 № 1-12, 1-2, 3, 4, 5, 6, 7, 8-9, 10, 11-12,
Советское кино 1935 № 1-6, 7-12, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11
Советское радио и телевидение 1967 № 1-11
Советское радио и телевидение 1968 № 1-3-6-8-9-11-12
Советское радио и телевидение 1969 № 1-12, 
Советский музей  1935 №1-6, 1934 №4, 3, 2, 1,  1931 № 4,2  1937 №1-12, 
";"Суслова Е.В. Евдокимова Л.В.
26.07.23"
"7120
6470";30;"Советский экран 1964 № 13-24 Советский экран 1963 №13-24 Советский экран 1960 № 13-24
Советский экран 1961 № 1-12,
Советский экран 1972 № 1-12, 13-24
Советский экран 1973 № 1-12, 13-24
Советский экран 1974 № 1-12, 13-16, 17-24
Советский экран 1975 № 1-12, 13-24
Советский экран 1976 № 1-12, 13-24
Советский экран 1977 № 1-12, 13-24
Современная драматургия 2020 № 1, 2019 №
1, 2, 3, 4, 2018 № 1,2,3,
Советская эстрада и цирк 1989 № 1-6, 1990 №
1-6, 7-12, 1989 № 7-12, 1991 № 1-4";"Суслова Е.В. Евдокимова Л.В.
26.07.23"
"7119
6469
";31;"Советский экран 1971 №13-24, 1-12,
Советский экран 1968 №13-24, 1-12, 1-12,
Советский экран 1970 № 1-12, 13-24,
Советский экран 1969 № 3-24, 1-12,
Советский экран 1967 № 13-24, 7-12, 1-6
Советский экран 1966 № 13-24, 1-12, 
Советский экран 1965 № 13-24, 1-12,
Советский театр 1930 №1, 
Советский музей  1938 № 1-11, 1985 № 3-5, 1986 № 1-6, 1939 № 5, 1987 № 1-6, 1988 № 1-6, 1989 № 1-6, 1992 №1, 2,3, 4, 5, 6, 1990 № 4-6, 
";"Суслова Е.В.
Евдокимова Л.В.
26.07.23
"
5506;58;"Советский экран 1982 № 7-12, 13-18, 19-24, 
Советский экран 1983 № 1-12, 1-12, 13-24, 13-18, 
Советский экран 1981 № 13-18, 19-24, 
Советский экран 1984 № 1-6, 7-12, 13-18, 19-24,
Советский экран 1985 № 1-6, 7-12, 13-24, 
Советский экран 1986 №1-12, 13-24,
Советский экран 1987 № 1-12, 13-18, 19-24, 
Советский экран 1988 № 1-6, 7-12, 
Советское радио и телевидение 1970 № 1-12
Советское фото 1926 № 2, 3, 4, 9, 5, 6, 7, 8, 
Советское фото 1927 № 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 
Советское фото 1929 № 1, 2, 3, 4,
Советское фото 1985 № 4,5,  1988 № 1, 2, 4, 5, 6, 7, 9, 1 , 12
";Евдокимова Л. В., Чевычалова С.Н.
"7117
6467";64;"Советский экран 1990 № 13-18, 1-9, 1-11-14-16-18, 1-18, 
Советский экран 1989 №13-18, 10-18, 1-9, 
Советский экран 1988 № 19-24, 13-18, 
Советский экран 1997 №1489, 1488,1488, 1487, 
Советский экран 1998 №1492, 1491, 1490, 
Советский экран 1961 № 13-18
Советское искусство 1925 №1,1 ,2 ,3,4-5, 6, 2-5, 6-9, 7, 9, 9, 8, 
Советское искусство 1926 №1, 2, 3, 4, 5, 3-4, 6-7, 8-9, 10
Советское искусство 1927 № 1-3, 4-8, 1,2, 3, 5, 6, 7, 8, 
Советское искусство 1928 №1-4, 1, 2, 3, 4, 5, 5-7, 
Советское кино 1933 № 1-9-11-12, 1-2, 3-4, 5-6, 7, 8, 9, 10, 11, 12
";"Суслова Е.В. Евдокимова Л.В.
26.07.23"
5425;58;"Современная архитектура
2010 № 511904/4
2010 № 511904/3
2010 № 511640/1
2010 № 511640/3
2010 № 511904/2
№ 511640/4
№ 511904/1
№ 511904/5
№ 511640/2
№ 511904/1
Сотбис
2005 № 045533
2009 № 052397
1993 № 040439
2008 № 052374
2001 № 061049
1993 № 054614
1988 № 061265
1998 № 060802
2000 № 059434
2005 № 045517
2000 № 059062
1999 № 060772
1999 № 060285
2006 № 046939
2005 № 045481
2006 № 052604
2005 № 045773
2006 № 046893
2000 № 060875
2000 № 048798
1999 № 060611
2000 № 060531
2004 № 044630
2004 № 045399
2004 № 043704
2007 № 047214
1993 № 046062
1998 № 059525
1997 № 060306
1996 № 058986
2007 № 047208
1999 № 060889
2000 № 060826
2001 № 043401
2010 № 052626
1999 № 060804
1998 № 060824
2001 № 060762
1997 № 060555
1998 № 060807
1976 № 039529
2004 № 043513
2005 № 045691
2005 № 045721
2006 № 052590
2001 № 060147
2009 № 052115
2007 № 047231

";"Евдокимова Л.В.
Шкурина Т.
"
