Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
5064;82;"Человек 2003 – 1-6; 2004 – 1-6; 2005 – 1-6;
2006 – 1-6; 2007 – 1-6; 2008 – 1-6; 2009 – 1-6;
2010 – 1-6; 2011 – 1-6; 2012 – 1-6; 2013 – 3, 4, 5,
6; 2014 – 1-6; 2015 – 1-6.
Человек, культура, город – 2004 – (1-12); 2005 – (1-11); 2006 – (1-12); 2010 – (2,4-8,12);
2011 – (1-12";"27.07.2023
Акименко А.В. Ковтуненко М.П."
6827;80;"Человек
2018 №№ 1, 2, 3, 4, 5, 6
2019 №№ 1, 2, 3, 4, 5, 6
2020 №№ 1, 2, 3, 4, 5, 6
2021 №№ 1, 2, 3, 4, 5, 6
2022 №№ 1, 2, 3, 4, 5, 6
2023 №№ 1,2
Человек без границ
2008 №№ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2009 №№ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Человек. Культура. Образование
2020 № 4
2021 №№ 3,4
20022 №№ 1,2,3,4
2023 № 1
Читаем вместе
2016 № 2
2018 №№ 1, 11
2019 № 1/2
2022 №№ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
 

";"Заигрова Коваленко
12.07.2023"
5065;79;"Человек, культура, город – 2011 – 7-8.
Что читать – 2009 - 7-8, 9, 10-11, 12; 2010 – 1-
2, 3, 4, 5.
Шестидесятая параллель – 2007 - № 1, 2,
3,4; 2008 – 1-4; 2009 – 1-4; 2010 – 1-4; 2011 – 1-
4.
Школа духовности – 1999 – 1,2, 3.
Шоу бизнес – 2001 – 1,2,3,4,5.
Шоу мастер – 1999 – 3, 4, 4; 2001 – 3, 4; 2002
– 1, 3-4; 2003 – 1, 2, 3, 4; 2004 – 1,2,3,4; 2005 –
1, 2,3,4.
Эгоист – 2006-2007 – 12-1; 2007 - № 3, 4, 5, 6,
7-8, 9-10, 11, 12; 2008 – 2,3,4,5,6, 7-8, 9, 10,11;
2008/2009- 12/1.
Экран – 1921 – (1-16), (1-16); 1922 – (17-20,
22-24/25, 31";"27.07.2023
Акименко А.В. Ковтуненко М.П."
6834;88;"Читаем, учимся, играем 2000 № № 3, 4, 5, 6, 7
2004 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2005 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
2006 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2007 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2008 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2009 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2010 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12";"Заигрова Коваленко
13.07.2023"
6836;85;"Читаем, учимся, играем
1998 №№ 6, 7
1999 №№ 1, 4, 5, 6
2000 №№ 1, 2
2017 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2018 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2019 №№ 1, 2, 3, 4, 5, 6, 7, 8, 9,10, 11
2020 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2021 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2022 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2023 №№ 1, 2, 3, 4, 5, 6

";"Заигрова Коваленко
13.07.2023"
6835;70;"Читаем, учимся, играем
2011 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2012 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2013 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2014 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10
2015 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
2016 № № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12";"Заигрова Коваленко
13.07.2023"
6837;36;"Чудак
1929 № 1, 2, 6, 13, 14 (подшивка), № 34, 36, 37,
39, 46, 48 (подшивка)
1930 № 1, 4 (подшивка) Чудесные мгновенья 2004 № 4
2005 № 1
Шаги 2017 № 3
2020 №№ 3, 4
2021 №№ 1,2,3,4
2022 №№ 1, 2,3, 4
Шансонетка 1914 № 5
Шоу мастер 2021 № 2
Штрих 2011 № 1
Экземпляр 2021 №№ 2,3
2022 №№ 2, 3, 4, 5, 6
2023 №№ 1, 2, 3
Экран
1921 № 1-6 (подшивка)
1922 № 17-19, 24/25 (подшивка), №17-32 (подшивка)
1926 № 7, 9, 25, 30, 31, 33-35 (подшивка)
1929 № 2-18, 20-23, 26, 28, 30-36, 38, 41, 43, 44, 49
(подшивка)";"Заигрова Коваленко
13.07.2023"
