Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6860;33;"Моды сезона
1927 лето
1929 № 3
1930 № 1
Журнал мод
1951 № 1
Теория моды
2006 осень, вып.2
2007 весна, вып 3, лето вып 4, осень вып 5, 
2006/2007 зима вып 6
2008 весна, вып 7, лето вып 8, осень вып 9, 
2008-2009 зима, вып 10
2009 весна, вып. 11, лето, вып. 12, осень, вып. 13
2009-2010 зима вып. 14
2010 весна, вып. 15, лето вып 16, осень вып 17
2010-2011 зима, вып 18
2011 весна вып 19, лето вып. 20, осень вып 21
2011-2012 зима вып. 22
2012 весна вып 23, лето вып. 24, осень вып 25
2012-13 зима вып. 26
2013 весна вып 27, лето вып. 28, осень вып 29
2013-2014 зима вып.30






";"Заигрова Коваленко
18.07.2023"
40;44;"Молодая гвардия 1928. № 1-12; Молодая
гвардия 1929. № 1/5, 6/10, 11-13, 14/18, 19,
20/21, 22, 23/24; Молодая гвардия 1930. № 1-
12.; Молодая гвардия 1931. № 1/6, 7-10, 11-18, 19/22; ; Молодая гвардия 1932. № 1/3, 4/6; Молодая гвардия 1933. № 1/3, 4/6, 7/9, 10/12;
Молодая гвардия 1934. № 1/3, 4/6..";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
41;27;"Молодая гвардия 1934. № 7/9, 10/12; Молодая гвардия 1935. № 1/4, 5/8, 9/12;
Молодая гвардия 1936. № 1/3, 4/6, 7/9, 10/12; Молодая гвардия 1937. № 1/3, 4/6, 7-9, 10/11, 12;
Молодая гвардия 1938. № 1/3, 4/6, 7/9, 10/12; Молодая гвардия 1939. № 1, 2/3, 4-6, 7, 8.";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
42;31;"Молодая гвардия 1939. № 9, 10/11, 12; Молодая гвардия 1940. № 1/4, 7/9, 10/12 Молодая гвардия 1941. № 1/4;
Молодая гвардия 1956. № 1/3; Молодая гвардия 1957. № 1/2, 3/4, 5,6; Молодая гвардия 1958. № 1-12;
Молодая гвардия 1959. № 1/3, 4/6, 7/9, 10/12; Молодая гвардия 1960. № 1/3, 4/6, 7/9, 10/12.";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
43;26;"Молодая гвардия 1961. № 1/3, 4/6, 7/9, 10/12; Молодая гвардия 1962. № 1/3, 4/6, 7/9, 10/12; Молодая гвардия 1963. № 1/3, 4/6, 7/9, 10/12; Молодая гвардия 1964. № 1/3, 4, 5/6, 7/8, 9, 10; Молодая гвардия 1965. № 1/2, 3/4, 5/6, 7/8, 9- 12.
Молодая гвардия 1966. № 1, 2, 3/4.";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
44;36;"Молодая гвардия 1966. № 5, 6, 7/8, 9/10, 11/12;
Молодая гвардия 1967. № 1/2, 3/5, 6, 7/8, 9/10, 11/12;
Молодая гвардия 1968. № 1/2, 3/4, 5/6, 7/8, 9/10, 11/12;
Молодая гвардия 1969. № 1/2, 3/4, 5/6, 7, 8, 9/10, 11/12;
Молодая гвардия 1970. № 1/2, 3/4, 5/6, 7/8, 9/10, 11/12;
Молодая гвардия 1971. № 1/2, 3/4, 5/6, 7/8, 9/10, 11/12;";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
45;84;"Молодая гвардия 1972. № 1-12;
Молодая гвардия 1973. № 1-12;
Молодая гвардия 1974. № 1-12;
Молодая гвардия 1975. № 1-12;
Молодая гвардия 1976. № 1-12;
Молодая гвардия 1977. № 1-12;
Молодая гвардия 1978. № 1-12";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
46;84;"Молодая гвардия 1979. № 1-12;
Молодая гвардия 1980. № 1-12;
Молодая гвардия 1981. № 1-12;
Молодая гвардия 1982. № 1-12;
Молодая гвардия 1983. № 1-12;
Молодая гвардия 1984. № 1-12;
Молодая гвардия 1985. № 1-12";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
47;84;"Молодая гвардия 1986. № 1-12;
Молодая гвардия 1987. № 1-12;
Молодая гвардия 1988. № 2-12;
Молодая гвардия 1989. № 1-12;
Молодая гвардия 1990. № 1-12;
Молодая гвардия 1991. № 1-12;
Молодая гвардия 1992. № 1/2, 3/4, 5/6, 7-10, 11/12.
Молодая гвардия 1993. № 1-4, 5/6.";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
48;72;"Молодая гвардия 1993. № 7;
Молодая гвардия 1994. № 4, 5/6, 7;
Молодая гвардия 1995. № 1-12;
Молодая гвардия 1996. № 1-12;
Молодая гвардия 1997. № 1-12;
Молодая гвардия 1998. № 1-12;
Москва. 1957. № 1/2, 3/4, 5/5, 7/8, 9/10, 11/12. Москва. 1958. № 1/2, 3/4, 5/5, 7/8, 9/10, 11/12.
Москва. 1959. № 1/3, 4/6, 7/9, 10/12.";Подготовили: Захарова О.В, Кольцова Е.Н, Рейтблат А.И.
