Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6642;168;"Кино-фот:1922№1,2,3,4,5,6,7.(в 2-х Экз.)
Кинофронт: 1927№1-14
Клуб:1925№5-7.  1926№1-12. 1927№ 1-4,6-12. 1928№ 1-9.  1933№1-8. №1-9.  1934№10-24.
1935№1-12,13-24.  1936№1-6,7-12,13-18,19-24.
1937№1-6,7-12,13-18,19-24. 1951№2-6. 1952№1-
12.";"Кольцова Е. Баранова М.
30.06."
28;22;"Клуб и художественная самодеятельность:
1978 (1-12), (13-24); 1979 № (1-12), (13-24);
1980 (1-12), (13-24); 1981 (1-12), (13-24); 1982
(1-12), (13-24); 1983 (1-11), 12, (13-24); 1984 (1-
12), (13-24); 1985 (1-12), (13-24); 1986 (1-12),
(13-24); 1987 (1-12), (13-24); 1988 (1-12)";Подготовил: Ковтуненко, Чабан 29.07.23.,
29;65;"Клуб и художественная самодеятельность:
1988 (13-24).
Клубная сцена 1927 (1-6), 1-6; 1928 (1-10), 1,
2/3, 4,5,9; 1930 (1-6,10-12); 1930 (1-12); 1931 –
1/2, 3,4,5,6,7/8, 9,10,11,12; 1932 –(1-6), (7-12), 2,
4.
Книга и пролетарская революция: 1935 №1
– 9,10, 11/12; 1936 - № 1 – 6, 8,9; 1937 – 1 – 12;
1938 – (1-3), (4 -5/6), (7-8/9), (10-11/12)";Подготовил: Ковтуненко, Чабан 29.07.23.,
6643;207;"Клуб:1953№1-8,10-12.  1954№1-12.  1955№1-12. 1956№1-10,12.  1957№1-12.  1958№1-12. 1959№1-
12.  1960№ 1-6,7-12.  1961№1-6,7-9. 1962№1-6,7-
12.  1963№1-2,4-6,7-12. 1989№1-6,7-10,12.
1990№1-6,7-12,7-12. 1991№1-6,1-6,7-12,7-12.
1992№1-12,1-12.";"Кольцова Е. Баранова М.
30.06."
6644;223;"Клуб:1993№1-10.1994:№1-12. 1995№1-6,7-12. 1996№1-6;7-12.  1997№1-6,7-12.  
1998№1-6,7-12.  1999 №1-4,5-8,9-12. Кольцова Е.
Баранова М.
30.06.
2000№1-6,7-12. 
2001№1-6,7-12. 2002№1-6, 7-12. 2003-2006№1-6,7-12. 
2007№1-8,10-12. 
2008-2010 №1-12.   
";"Кольцова Е. Баранова М.
30.06."
6645;110;"Клуб:2011 №1-12.  2012:№1-6;№7-12. 2014№1-6.
2013:№1-12.  2014:№7-12. 2015:№1-6;№7-12.
2016:№1-6;№7-12.  2017:№1-6;№7-12.  2018:№1-
6;7-12.  2019:№1-6;7-12.  2020:№1-6;7,8,9,10,11,12.
2021:№1,2,3,4,5,6,7,8,9,10,11,12. 2022:№1, 2, 3, 4,5,
6,7, 8,9,10, 11,12.  2023:№1,2,3,4, 5,6.  Клуб и
закон:2006,№1,2, 5.   Клубный репертуар:1930№1-6.
Книжки, нотки и игрушки для Катюшки и Андрюшки:2021 №12. 2022:1, 2, 3, 4, 6, 7, 8, 9,
10,11, 12. Книжки, нотки и игрушки для Катюшки и Андрюшки 2023:№1, 2.
Книжное дело:1992№1, 2.
Книжное дело:1993№3, 4;  1994№1, 2, 3, 4, 5, 6; 1995№1,2,3,4-5, 6-7,8-9.  Книжное дело1996:1;2-
3;4.  1997:№1;2-3.
Коллеги:1997№1,2;  1998:№1,2,3; 1999№1;2000№1;2001№1.
Коллегиум:2004№1-2.
Коллекция n:2002, вып.1, вып.2, вып.3, вып.4.2003 вып. 5.
Кольцовский сквер 2004№1.
Консонанс:2020№1, 2.2021№1;2022№1,2.";"Григорьева Ю.,Цыпленко в К, Р.Матье.
30.06."
30;75;"Книга и пролетарская революция: 1940 -№ 1. 2, (4-5),6,7,8,9,(10-11),12.
Книга и революция: 1929 – (1-6), 7,8,9,10,11,
12, (13-14), (15-16), 17, 18,19,20,21, 22,23,24.
Книжный вестник: 1866 - № (1-5, 8); 1890 –
(1-12); 1891 – (1-12); 1893 – (1-12); 1894 – (1-
12); 1995 (1-12); 1996 (1-12); 1999 (1-12).
Колхозный театр: 1934 (1-16), (1-16), 1 – 16;
1935 (1-12), 1 – 6, (7-8), (9-10), (11-12); (1-12),
(13-24), (13-24), (13-14), 15,16,17,18.";Подготовил: Ковтуненко, Чабан 29.07.23.,
31;78;"Колхозный театр: 1935 № 19 – 24; 1936 – (1-
6), (1-9), (7-9), 1 – 6, (7-8),9.
Комментарии: 1995 – 6, 7, 9, 10, 11. 12, 13, 14.
Красная рубаха: 1930 - № 1; 1931 – (1-12),
(3,8, 9,11,12); 1932 – (4,5,11), 5.
Крестьянка: 1923 – (7,13-19,21); 1924 –
(6,7,11,22); 1925 – (2,13-18, 20-24), (3,4,6,9,10);
1926 – (1-7, 14-15, 18-20, 22-24); 1927 – (2-6, 8-
24); 1928 – (1-5,7-19,22-24); 1929 – (1,3-11,15-
23); 1931 – (20, 24); 1932 – (2, 4,18, 18-20,22);
1934 – (1-16,18-24).
Культура театра: 1921 (1-8), 1 – (6 экз.), 2 (3
экз.), 4 (8 экз.), 5 (3 экз.), 7/8; 1922 – ?. Культурно-просветительная работа (Встреча) – 1983 – №1, 2,3,4,5,6,7,8,9,10,11,12;
1984 – 1,2,3";Подготовил: Ковтуненко, Чабан 29.07.23.,
6646;70;"Консонанс:2023№1.
Колокольчик:1882№1-2.   Колосья:1884№1.   Комментарии:1996№8.  
Комик:1906№2.  Комуз:1926№1, 2,4,5.  
Коллекционер:1996 вып.1.
Кому-куда:1929№1-3.   Консультационные материалы и рекомендации по сценической технике и технологии1960№1-5;1961№7-8,10-14.   
Континент:1993№77;2004№78,79,80,81,82.
Континет:1995№83,84, 85, 86. 
Континент:1996№88,89,90. 
Континент:1997№91,92,93,94.
Континент:1998№95,96,98.
Континент:1999№99,100,101,102.
Континент:2002№111,112,113,114.
Континент:2003№115,116,117,118.
Континент:2004№119,120,121,122.
Континент:2005№123,124,125,126.
Континент:2006№127,128129,130.
Континент:2007№131,132,133, 134.
Континент:2008№135,136,137,138.
Континет:2009№139,140,141,142. 
Континент:2010№143,144,145,146.
";"Григорьева Ю.,Цыпленко в К, Р.Матье.
30.06."
6667;94;"Континент:2011№147;147+;148;148+;149;149+. (6)
Континент:2012№151;153;154. (3)
Контркультура.1991.№3
Концепт.2017.№1.
Концепт.2019.№1.
Концепт.2020.№2;4. (2)
Концепт.2021.№1;2;3;4. (4)
Концепт.2022.№3;4. (2)
Концепт.2023.№1.
Королевство кукол. 2012.№1.
Королевство кукол. 2013.№2.
Край смоленский. 2022.№3;7;9. (3)
Край смоленский. 2023.№1;3;4. (3)
Красная бурда. 2002. №1;2;3;4;5;7;8;9;10;11;12. (11)
Красная бурда. 2003.№1;2;3;4;5-6;7-8;9-10;11-12. (8)
Красная бурда. 2016.№2;3;4;5;6;9;12. (7)
Красная нива. 1924. №43.
Красная нива. 1926. №3,5,7,10-15,18,24-26. (1)
Красная нива. 1927. №17.
Красная нива. 1928. №5,9,11,13,16. (1)
Красная нива. 1928. №14.
Красная нива. 1928. №44.
Красная нива. 1928. №47.
Красная нива. 1929. №1,7-9,26. (1)
Красная нива. 1929. №31.
Красная Панорама. 1928. №1,2,4-7,10,12,13,16,17,19-28,30,31,32,34,35,37,44-50. (1)
Красноармейская эстрада. 1930.№1-12. (1)
Красноармейская эстрада. 1930.№3,5,6,8. (1)
Красноармейская эстрада. 1931.№1-24. (1)
Красноармейская эстрада. 1931.№1;2;3;4;5;7-8;9;10;11;12. (10)
Красноармейская эстрада. 1931.№13-14;15;16;17-18;19;20;21-22. (7)
Красноармейский клуб. 1932.№1,5. (1)
Красноармейский клуб. 1934.№1-4; 2;3;4;8;10;11;12. (8)
Красный библиотекарь. 1935. №1-6. (1)

";"Цыпленков К., Рэд Маттьё.
03.07."
