Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
"7018
6368";33;"Вестник Европы: 1902№ 7/8, 9/10, 11/12; 1903
№ 9-11,7, 8; 1912 №1-12; 1913 № 1, 2, 4-12;
1914 № 1,2;";Подготовил: Корокина, Волошко 24.07.23, с. 10-14
"7015
6365";30;"Вестник Европы: 1904 № 11,12; 1905 № 1-
4,5/6, 7, 8,10,11; 1906 № 1, 3, 4,5, 7-11; 1907 №
1/2,3/4,5, 6, 7/8, 9/10,11/12; 1908 № ?, 3/4, 5/6;
1909 №1-3";Подготовил: Корокина, Волошко 24.07.23, с. 10-14
"7016
6366";28;"Вестник Европы: 1909 № 4-12; 1910 № ?,3/4,
7/8, 9/10, 11/12; 1911 № 1-4; 1914 № 3-12;";Подготовил: Корокина, Волошко 24.07.23, с. 10-14
"7017
6367";31;"Вестник Европы: 1911№ 5-12 1915 № 11;
1916 № 1-3,7,10-12; 1917 № 1,2,7/8,9/12,
Вестник Искусств: 1922 № 5;
Вестник истории мировой культуры: 1957№
?,3/4, 5/6; 1958 № ?, 3/4, 5/6; 1960 № 1-6; 1961
№1/3;";Подготовил: Корокина, Волошко 24.07.23, с. 10-14
19;84;"Вестник Московск. Универ-та: 2014 № 1-6;
2015 № 1-6; 2016 № 1-6; 2017 № 1-6; 2018 № 1-
6; 2019 № 1-5; 2020 № 1-6; 2021 № 1, 2, 3, 3, 4,
5, 5, 6; 2022 № 1,2,3,4 5,5,6,6; 2023 № 1;
Вестник Вологодской обл. картинной галереи : 2006 №4;
Вестник музык.науки: 2016 № 1, 3, 4; 2017 №
1-4; 2018 № 1-4; 2019 № 1-4; 2020 № 1-4; 2021
№ 1-4; 2022 № 1-4; 2023 № 1;
Вестник РГГУ: 2016 № 12; 2017 № 1,2";Подготовил: Чернышева, Ермаков 27.07.23., с 14-18
20;72;"Вестник РГГУ: 2017 № 3;2018 № 1-3; 2019 №
1, 2; 2020 № 1,3; 2021 № 1-4; 2022 № 1,1,1, 2-4;
2023 № 1;
Вестник рос. Гуманит. Научного фонда:
2007 № 1-4; 2008 № 1, 2;
Вестник Санкт-
Петерб.госуд.универ.технологии и дизайна:
2018 № 2; 2019 № 3;
Вестник Саратовской консерватории. Вопросы искусствознания: 2018 № 1-2; 2019
№ 1-4; 2020 № 2-4; 2021 № 1-4; 2022 № 1-4;
2023 № 1;
Вестник Сахалинского музея: 2020 № 3,4;
2021 № 1,2 ;
Вестник славянских культур: 2017 № 6; 2019
№ 3, 6, 9; 2020 № 3, 6, 9, 12; 2021 № 3, 6, 9, 12;
2022 № 3,6;
Вестник Томского гос.универ.: 2022 № 48;
2023 № 49;
Вестник танцевал. Жизни: 2002 № 1-4 (52-
55/56, № 9/10 (60-61); 2003 № 1, 2 (62-63)";Подготовил: Чернышева, Ермаков 27.07.23., с 14-18
21;62;"Вестник Тюменского гос.инст-та культуры:
2016 № 2; 2018 № 1; 2020 № 1, 4; 2021 № 2;
2022 № 1;
Вестник Челябинской гос. академии культуры и искусств: 2012 № 1-4; 2013 № 1-
4; 2014 № 1, 3, 4; 2015 № 1-4; 2016 № 1,2,3,4;
2017 № 1-4; 2018 № 1-4; 2019 № 1-4; 2020 № 1-
4; 2021 № 1-4; 2022 № 1-4; 2023 № 1;
Высотные здания: 2007 № 1-6; 2006 № 1; 2;
2008 № 1, 2, 4, 5, 6";Подготовил: Чернышева, Ермаков 27.07.23., с 14-18
"7057
6407";54;"Вестник церковной истории: 2008 № 1-4;
2006 № 1-4; 2007 № 1-7; 2020 № ?,3/4; 2021 №
?,3/4; 2022 № ?;
Вопросы культурологии: 2007 № 1-10, 7;
2006 № 1,4,5, 8-12; 2009 № 1-12; 2007 № 11,12;
Иностранная литература: 1955 № (1-3), (4-6);
1956 № (1-3), (4-6);";Подготовил: Корокина, Волошко 25.07.23, с. 10-14
"7051
6401";118;"Вопросы Культурологии: 2008 № 1-12; 2010
№ 1-12; 2011 № 1012; 2012 № 1-12; 2013 № 4-
12; 2014 № 1-4, 6-12; 2015 № 1-12; 2016 № 1-
12;
Вопросы литературы: 1957 № 1-9; 1958 № 1-
12; 1959 № 1-5;";Подготовил: Корокина, Волошко 25.07.23, с.10-14
"7052
6402";89;"Вопросы Культурологии: 2017 № 1-12;
Вопросы литературы: 1959 № 6-12; 1960 №
1-12; 1961 № 1-7, 9-12; 1962 № 1-12; 1963 № 1-
12;  1964 № 1-12;";"Подготовил: Корокина, Волошко
25.07.23, с.10-14"
"7142
6492";72;"Вопросы литературы 1995 1, 2, 3, 4, 5, 6; 1996
1, 2, 3, 4, 5, 6; 1997 1, 2, 3, 4, 5, 6; 1998 1, 2, 3,
4, 5, 6; 1999 1, 2, 3, 4, 5, 6; 2000 1, 2, 3, 4, 5, 6;
2001 1, 2, 3, 4, 5, 6; 2002 1, 2, 3, 4, 5, 6; 2003 1,
2, 3, 4, 5, 6; 2004 1, 2, 3, 4, 5, 6; 2005 1, 2, 3, 4,
5, 6; 2006 1, 2, 3, 4, 5, 6";"С. Чевычалова, Н. Пинто
26.07.2023"
"7143
6493";63;"Вопросы литературы 2007 1, 2, 3, 4; 2008 1, 2,
3, 4, 5, 6; 2009 1, 2, 3, 4, 5, 6; 2010 1, 2, 3, 4, 5,
6; 2011 1, 2, 3, 4, 5, 6; 2012 1, 2, 3, 4, 5, 6; 2013
1, 2, 3, 4, 5, 6; 2014 1, 2, 3, 4, 5, 6; Вышгород
2006 1, 2/3, 5/6; 2007 ?, 5, 6; 2008 ?, 5, 6;
Гвидеон 2012 1, 2, 3, 4; Говорит СССР 1935
2-6, 8-12, 14-18, 19-24";"С. Чевычалова, Н. Пинто
26.07.2023"
"7053
6403";76;"Вопросы литературы: 1965 1-12; 1966 № 1-
12; 1967 № 1-12; 1968 № 1-12; 1969 № 1-12;
1970 № 1-12; 1971 № 1-4;";"Подготовил: Корокина, Волошко
25.07.23, с.10-14"
"7054
6404";68;"Вопросы литературы: 1971 №5-12; 1972 №1-
12; 1973 № 1-12; 1974 № 1-12; 1975 №2-12;
1976 № 1-12; 1977 № 1-12;";"Подготовил: Корокина,
Волошко 25.07.23, с.10-14"
"7055
6405";82;"Вопросы литературы: 1978 № 1-12;1979 № 1-
12 ; 1980 № 1-12; 1981 №1-12; 1982 № 1-12 ;
1983 № 1-12;1984 № 1-12;";"Подготовил: Корокина, Волошко
25.07.23, с. 10-14"
"7056
6406";92;"Вопросы литературы: 1985 № 1-12; 1986 №
1-12; 1; 1987 № 1-12; 1988 № 1,3,4-8,12; 1989
№ 1-12; 1990 № 1-11/12; 1991 № 1-11/12; 1992
№ 1-3,1993 № 1-6; 1994 № 1-6";"Подготовил: Корокина, Волошко
25.07.23, с. 10-14"
