Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
5062;65;"Художественная литература – 1932 – (1 – 12) -11 ед.; 1933 – (2-12) – 10 ед.; 1934 – (1 -12)
-11 ед; 1935 – 1,2,3,4,5,6,7,8.9,10.11,12.
Художественная самодеятельность – 1957
- № (1-3), (4-6); 1958 - № 1,2, 4, (5-8), (9-12);
1959 - № (1-4), (5-8), (9-12); 1960 - № (1-6), (7-
12); 1961 – (1-6), (7-12); 1962 – (1-6), (7-12);
1963 – (1-6), (7-12).
Художественный журнал – 1982 – Т.3; 1985 (январь – ноябрь Т.4), (январь – декабрь); 1987 – январь.
Художественный труд – 1923 – (1-4), 3;
Художник и зритель 1924 – 1, 2-3, (4-7)";"27.07.2023
Акименко А.В. Ковтуненко М."
6825;70;"Художественное образование и наука
2014 № 1
2015 №№ 1, 2, 3
2016 №№ 1, 2, 4
2017 №№ 1, 2,3, 4
2018 №№ 1,4
2019 №№ 1,3,4
2020 №№ 2, 3, 4
2021 №№1/2, 1/3
2022 № 1, 2,3
Художник и зритель
1924 № 1-3, 4-7(подшивки), № 1, 6/7
Художественный журнал
1997 № 16
Художественный труд
1923 № 1, 2, 3, 4, 4
Цветы
2019 № 7
Центр и периферия
2019 №№ 1, 3
2020 №№ 1, 3
2021 №№ 1, 3, 4
2022 №№ 1,2,3
Цитата
2006 №№ 1,2,2,3,3,4
2007 №№ 1,3/4, 5/6
2008 №№ 4, 5/6
Час культуры
2022 № 1
Часы
1996 № 2
Челнок
1925 № 1-8, 10, 11, 13 (подшивка)
Человек
2016 №№ 1, 2, 3,4,5,6
2017 №№ 1, 2, 3,4,5,6






";"Заигрова Коваленко
12.07.2023"
6826;96;"Художественные сокровища России
1901 № 1, 1-9, 11-12 (подшивки)
1903 № 1, 4-12 (подшивки)
1904 № 2-4, 9, 10, 12 (подшивка)
Художественный журнал
2000 № 3 
2002 № 5
2007 № 2/3
2009 №1/2
2010 1/2
2022 № 120, 121
2020 № 113,114
Художественный Саратов
1922/23 № 5
Цирк и эстрада №№1, 2, 3, 5, 6, 7, 8, 9, 11,12, 13,14,15, 16, 18/19, 22/23
1930 №№1, 2, 3, 8, 10
Репертуар для детских и юношеских театров
2007 №№ 1, 2, 3, 4, 5, 6
2008 №№ 1, 2, 3, 4, 5, 6
2009 №№ 1, 2, 3, 4, 5, 6
2010 №№ 1, 2, 3, 4, 5, 6

2011 №№ 1, 2, 3, 4, 5, 6
2012 №№ 1, 2, 3, 4, 5, 6
2013 №№ 1, 2, 3, 4, 5, 6
2014 №№ 1, 2, 3, 4, 5, 6
2015 №№ 1, 2, 3, 4, 5, 6
2016 №№ 1, 2, 3, 4, 5, 6








";"Заигрова Коваленко
12.07.2023"
