Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
"7137
6487
";169;"Рампа и жизнь. 1912. №№ 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52 – в папке
Рампа и жизнь. 1913. №№ 3, 4, 5, 6, 7, 8, 9, 10, 11, 21, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42,43, 44, 45, 46, 47, 48, 49, 50, 51, 52 – в папке
Рампа и жизнь. 1914. №№ 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 19, 20, 22, 23, 24, 25, 26, 32, 34, 36 – в папке
Рампа и жизнь. 1915. №№ 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37, 38, 41, 43, 44, 45, 46, 48, 50, 51, 52 – в папке
Рампа и жизнь. 1917. №№ 26/27, 28, 29/30, 31, 32, 33/34, 35, 36/38, 39, 41/42, 43, 44/46, 47/48, 49/50 – россыпь
Репертуар и пантеон. 
1841. № 3;
1842. Кн. 13-14; кн. 15 – 20; кн. 23 -24
1843. Кн. 3; Кн. 7 - 9
1844. Кн. 5, т. 6; Кн. 6, т. 6; Кн. 7 – 8; Кн. 12, т. 8; Кн. 1-3, т. 5
 1845. Кн. 1 – 4; Кн. 5, т. 10; Кн. 11, т. 12; Кн. 12, т. 12; Кн. 6, т. 10; Кн. 7, т. 11; Кн. 8, т. 11; Кн. 9, т. 11; Кн. 10, т. 12
1846. Кн. 4 – 6, т. 14  
1847. Т. 2; Т. 10;  Т. 11 -12

";"Бережнова,
Титунова, 
26.07.2023
"
"7138
6488";57;"Репертуар и пантеон. 1847. Т. 4 - 6; т. 5 -6; Т. 7 – 9
Репертуар русского театра. 1839. т. 1, кн. 1 – 6;
1839. № 1 – 3; № 4   - 6
1839. Т. 2; Т. 2; Т. 2, кн. 7 - 12
1840. кн. 1
1840. № 1 – 3, 4 – 6, 7 – 9, 10 – 12
1840. Т. 2, кн. 10 – 12
1841. Т. 1, кн. 1 – 6; т. 2, кн. 7 – 12
Репертуарный бюллетень. 1926, № 1; 1927,
№ 2, 3, 4, 5, 6, 7/8;  1927, № 2 – 4, 5 – 8. 1928,
№ 1 – 6, 7   - 12, 1929, № 1 – 6, 7 – 12, 1929, №
1, 3, 5, 10, 11; 1930, № 1 – 6, 7 – 12; 1930, № 1,
4, 5, 7/8, 10/11, 12; 1934, № 1 – 3, 4 – 10. 1935,
№ 1 – 4. 1940, № 1/2, 3, 4/5, 6, 7/8, 9, 10/11, 12;
1941, № 1/2, 3, 5";"Бережнова
,
Титунова, 26.07.2023"
"7140
6490";26;"Репертуарный бюллетень. 1936. № 1  - 9;
1937, № 1 – 12; 1938, № 1 -12; 1939, № 1 -12;
1940, № 1 -12; 1941, № 1 -8; 1934, № 2 – 3;
1935, № 2, 1936, № 7;
Рост 1930, № 1 – 10 (с пропусками); № 11 –
22; № 11/12; 1931 № 1 – 3, 4 – 6, 1932, № 21.
Русская музыкальная газета. 1895. № 2 – 12; 1900. № 1 – 52; 1901. № 1 – 52; 1902. № 1 –
52; 1903, № 1 – 52; 1905, № 1 – 52; 1906, № 1 –
52; 1907, № 1 – 52; 1907, № 1 – 52; 1908, № 1 –
52; 1912, № 1- 26";Титунова, 26.07.2023
"7106
6456";108;"Родина 1991 № 1,2,3,4,5,6/7, 8,9-10,11-12
Родина 1992 №3,4,5,8-9,10,11-12
Родина 1994  №1,2,3-4,5,6,7,8,9,10,11,12
Родина 1995 № 1,2,3-4,5,6, 7, 8,9,10,11,12
Родина 1996 №1,2,3,4,5,6,7-8, 9,10,11,12
Родина 1997  №7,8,9,10,11,12
Родина 1998 № 1,3,4,5-6, 7, 8,9, 10-12
Родина 1999 №1,2,3,4,5,6,7,8,9,10,11,12
Родина 1994  №1,2,3-4,5,6,7,8,9,10,11,12
Родина 2000 №1/2,3,4,5,6,7,8,9,10,11,12
Родина 2001  №1/2,3-4,5,6,7,8,9,10,11,12
Реплика 2012 №17,17";"Суслова Е.В. Евдокимова Л.В.
26.07.23"
"7107
6457
";118;"Родина 2002 № 1,2,3,4-5,6,7, 8,9,10,11-12
Родина 2003 №1,2,3,4,5-6,7,8,9,10,11,12
Родина 2004  №1,2,3,4,5,6,7,8,9,10,11,12
Родина 2005 № 1,2,3,4,5,6, 7, 8,9,10,11,12
Родина 2006 №1,2,3,4,5,6,7,8, 9,10,11,12
Родина 2007  №1,2,3,4,5,6,7,8,9,10,11,12
Родина 2008 № 1,2,3,4,5,6, 7, 8,9, 10,11,12
Родина 2009 №1,2,3,4,5,6,7,8,9,10,11,12
Родина 2010  №1,2,3,4,5,6,7,8,9,10,11,12, спец.
Родина 2011 №1,2,3,4,5,6,7,8,9,10,11,12
";"Суслова Е.В.
Евдокимова Л.В.
26.07.23
"
13а;57;"Российский Феатр. 1786, Ч. 3
1787. Ч. 7, 7, 8, 8, 9, 9, 9, 10, 10, 11, 11, 12, 12, 13,
13, 13, 13, 13, 14, 14, 14, 15, 15, 16, 16, 17, 17,
1788, Ч. 18, 19, 19, 20, 20, 21, 21, 22, 22, 23, 23, 23,
23, 24, 24, 24, 25, 25, 25, 26, 27, 27,
1789, Ч. 28, 28, 29, 29, 30, 31, 31";Акименко Титунова 28.07.2023
14а;125;"Российский Феатр. 1789, Ч. 30, 30, 31,
1790, Ч. 32, 33, 33, 34, 34, 35, 35, 36, 36,
1791, Ч. 37, 37, 38, 38, 38, 1793, Ч. 39, Ч. 40, 1794,
Ч. 41, 41, 41, 42, 42, 43, 43,  1829, Ч. 10, 40
Музыка в школе. 2011. № 4, 5, 6, 2012, № 1, 2, 3,
4, 5, 6, 2013, № 3, 4, 5, 6, 2014, № 1, 2, 3, 4, 5, 6,
2015, № 1, 2, 3, 4, 5, 6, 2016, № 1, 2, 3, 4, 5, 6,
2017, № 1, 2, 3, 4, 5, 6, 2018, № 1, 2, 3, 4, 5, 6,
2019, № 1, 2, 4, 5, 6, 2020, № 1, 2, 3, 4, 5, 6,
2021, № 3, 5.
Музыка в системе культуры. 2019, № 19, 2020,
№ 20, 21, 22, 23, 2021, № 24, 25, 26, 27, 2022, №
28, 29, 30, 31, 32
Музыка и электроника. 2017. № 1, 2, 3, 4, 2018,
№ 1, 2, 3, 4, 4, 2019, № 1, 2, 3, 4, 2020, № 1, 2, 3, 4,
2021, № 1, 2, 3, 4, 2022, № 1, 2, 3, 4, 2023, № 1, 2";Акименко Титунова 28.07.2023
"7141
6491";99;"Русская виза. 1993, № 1, 2, 1994, № 4. Русская музыкальная газета. 1910. № 1 – 52; 1911. № 1 – 52; 1912. № 27 – 52; 1914. № 1
– 52 (с пропусками); 1915. № 1 – 52;
Русская музыкальная газета. 1915, № 27/28, 29/30, 31/32, 33/34, 35/36, 37/38, 39/40, 41, 42,
43, 44, 45, 46, 47/48, 49, 50, 51/52 – в папке
1916. № 1, 4, 5, 6, 7, 8/9, 10, 11, 12, 13, 14, 22/23,
24/25, 26/27 – в папке 1916. № 28 – 52
1907. № 1 – 52, 1909. № 1 – 52, 1910, № 1 - 52,
1911, № 1 – 52
Русская музыкальная газета. 1915, № 1, 2,
3, 4, 5, 6/7, 8, 9/10, 11, 12/13, 14, 15, 16, 17/18,
19/20, 21/22, 23/24, 25/26 – в папке
Русская музыкальная газета. 1909, № 1, 2,
3, 4, 5, 7, 8, 9, 10, 11, 12, 15, 16, 17/18, 21/22,
23/24, 25/26, 27/28, 29/30, 31/32, 33/34, 35, 36,
37, 38, 49, 50, 51/52 – в папке
Русская мысль. 1880. Кн. 11; 1882, кн. 1;кн.
3; кн. 7; 1885, кн. 1; кн. 2; кн. 5;кн. 9; кн. 11";Титунова, 26.07.2023
"5077
";64;"Русская галерея XX1. 2016. № 1-3,
Русская галерея XX1. 2017. № 4-6,
Русская галерея XX1. 2018. № 4-6,
Русская галерея XX1. 2019. № 1,2, 3, 4,5,6,
Русская галерея XX1. 2020. № 1,2, 3, 4,5,6,
Русская галерея XX1. 2021. № 1,2, 3, 4,5,6,
Русская галерея XX1. 2022. № 1,2, 3, 4,5,6,
Русская галерея XX1. 2023. № 1,3,
Русское искусство. 2004. № 3,4,
Русское искусство. 2005. № 1,3,4,
Русское искусство. 2006. № 1,2,3,
Русское искусство. 2007. № 1,2,3,4,
Русское искусство. 2008. № 2,3,4,
Русское искусство. 2009. № 1,2,3,4,
Русское искусство. 2010. № 1,2,3,4,
Русское искусство. 2011. № 1,2,3,4,
Русское искусство. 2012. № 1,2,3,4,
Русское искусство. 2013. № 1,2,3,4,";Титунова Бережнова 27.07.2023
"7110
6460
";18;"Русская музыкальная газета 1901 № 1-17-19-52
Русская музыкальная газета 1902 № 1-52
Русская музыкальная газета 1903 № 1-52
Русская музыкальная газета 1904 № 1-52
Русская музыкальная газета 1906 № 1-52 из библиотеки Загорского
Русская музыкальная газета 1907 № 1-52 из библиотеки Загорского
Русская музыкальная газета 1908 № 1-52
Русская музыкальная газета 1909 № 1-52, 1-52
Русская музыкальная газета 1910 № 1-52
Русская музыкальная газета 1911 № 1-52
Русская музыкальная газета 1912 № 1-52
Русская музыкальная газета 1913 № 1-52
Русская музыкальная газета 1914 № 1-52
Русская музыкальная газета 1915 № 1-16-19-25
Русская музыкальная газета 1916 № 1-52
Русская музыкальная газета 1895 № 1-12
Русская музыкальная газета 1897 № 7-12
";"Суслова Е.В.
Евдокимова Л.В.
26.07.23
"
