Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
5056;60;"Русский архив
1905 № 1, № 2, № 3, № 4, № 5, № 6, № 7, №
8, № 9, № 10, № 11, №12, 1906 № 1, № 2, №
3, № 4, № 5, № 6, № 7, № 8, № 9, № 10, № 11,
№12, 1907 № 1, № 2, № 3, № 4, № 5, № 6, №
7, № 8, № 9, № 10, № 11, №12, 1908 № 1, №
2, № 3, № 4, № 5, № 6, № 7, № 8, № 9, № 10,
№ 11, №12, 1909 № 1, № 2, № 3, № 4, № 5, №
6, № 7, № 8, № 9, № 10, № 11, №12";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5057;63;"Русский архив
1910 № 1, № 2, № 3, № 4, № 5, № 6, № 7, №
8, № 9, № 10, № 11, №12, 1911 № 1, № 2, №
3, № 4, № 5, № 6, № 7, № 8, № 9, № 10, № 11,
№12, 1912 № 1, № 2, № 3, № 4, № 5, № 6, №
7, № 8, № 9, № 10, № 11, №12, 1913 № 1, №
2, № 4-5, № 6, № 7, № 8, № 9, № 10, № 11,
№12, 1914 № 1, № 2, № 3, № 4, № 5, № 6, №
7, № 8, № 9, № 10, № 11, №12, 1915 № 1, №
5, № 6, № 7, № 8";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
5058;26;"Русский архив
1910 № 9-10, № 11-12, 1916 № 1-3, № 5-6, №
7-12, 1917 № 1, № 2-3
Русский библиофил
1911 № 1-4, 1912 № 1-3, № 4-6, № 7-8, 1913 №
1-3, № 4-6, № 7, № 8, прил., 1914 № 1-4, № 5,
1915 №№ 1, 2, 3, 4, 5, 6, 7, 8";Заигрова Е.Ю. Коваленко Е.И. 27.07.2023
11а;51;"Русский архив. 1905. № 11
1906. № 1, 2, 3, 4, 5, 7, 9, 10, 11, 12
Интернациональная литература. 1934. № 3 –
4, 1935, № 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 1936, № 1, 2,
5, 6, 7, 8, 9, 10, 11, 12, 1937, № 1, 1, 2, 3, 4, 4, 5, 6, 7,
8, 11, 12, 1938, № 2/3, 4, 5, 5, 6, 7, 8";Акименко Титунова 28.07.2023
5081;35;"Русский библиофил. 1916, № 2, 3, 4, 5, 6, 7, 8
Русский вестник. 1861. Т. 36;
1862, Т. 38, № 3; т. 38, № 4; т. 39; т. 40, № 7; Т. 40,
№ 8; Т. 42, № 11;
1863, Т. 43; т. 44; Т. 45; Т. 47; Т. 48
1864, т. 49, № 1; Т. 49, № 2; Т. 50, № 3; Т. 50,№ 4;
Т. 51, № 5 – 6; т. 52, № 7 – 8; т. 53, № 9; т. 53, №
10; Т. 54, № 11; т. 54, № 12.
1865, т. 55, № 1 – 2; т. 56, № 3; т. 56, № 4; т. 57, №
5 – 6; т. 58, № 7 – 8; т. 59, № 9 – 10.";Титунова 27.07.2023
5079;19;"Русский вестник. 1856. № т. 3,4,5,6,
Русский вестник. 1857. № т. 8,9,10,11,12,
Русский вестник. 1858. № т. 13,14,15,16,17,18,19, Русский вестник. 1860. № т. 1, 2/1, 2/2.";Титунова Бережнова 27.07.2023
5080;26;"Русский вестник. 1859. № т. 20, 21, 22, 23, 24,
Русский вестник. 1860. № т. 26 №№ 3/1,3/2,4/1, 4/2, 5/1,6/1,6/1,7/1, 8/1,8/2, 9/1, 9/2, 10/1, 10/2,
Русский вестник. 1860. № т. 30
Русский вестник. 1861. № т. 31,32,33,34,35, Русский вестник. 1862 № т.37.";Титунова Бережнова 27.07.2023
1а;39;"Русский вестник. 1865. № 11, 12;
1866, № 1,  3 – 4, 5, 6, 7 – 8, 9, 10, 11, 12
1867, № 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12
1868, № 1 – 2, 3 – 4, 5 – 6, 7 – 8, 9 – 10, 11 – 12
1869, № 1 – 2, 3, 4, 5 – 6, 7 – 8, 9 – 10, 11 – 12
1870, № 1, 2, 3 – 4, 5 - 6";Акименко Титунова 28.07.2023
2а;38;"Русский вестник. 1870. № 7 – 8, 9 – 10, 11 – 12
1871. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
1872, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
1873, № 1 – 2, 3, 5 – 6, 7 – 8, 9 – 10, 11 – 12
1874, № 1, 2, 3, 4, 7
";"Акименко
Титунова
28.07.2023
"
3а;35;"Русский вестник. 1874. № 5 - 6, 8, 9, 10, 11
1875, № 1, 3, 5 – 6, 8, 9, 10, 11
1876, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
1877, № 1 – 2, 3 – 4, 5 – 6, 7 – 8, 9 – 10, 11 – 12
1878, № 3, 4, 5, 6, 7";Акименко Титунова 28.07.2023
4а;44;"Русский вестник. 1878. № 9, 11, 12,
1879, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
1880, № 1, 2, 3,  5 - 6, 7, 8, 9 – 10, 11, 12
1881, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
1882, № 1, 2, 3, 4, 5, 6, 7, 8";Акименко Титунова 28.07.2023
5а;44;"Русский вестник. 1882. № 9, 10, 11, 12
1883. № 8, 9, 10, 11, 12
1884, № 1, 2, 3, 4, 5, 6, 7, 8, 11, 12
1885, № 1, 2, 3, 4, 5, 6, 7, 8,
1886, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
1887, № 1, 2, 3, 4, 5";Акименко Титунова 28.07.2023
6а;41;"Русский вестник. 1887. № 6, 7, 9, 10, 11, 12
1888, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12
1889, № 1, 3, 4, 5, 6, 7, 8, 9, 11, 12
1890, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
1891, № 3, 4";Акименко Титунова 28.07.2023
7а;35;"Русский вестник. 1891, № 1, 2, 5, 6, 7, 8, 9, 12
1892, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
1893, № 1, 2, 3, 4, 5 - 6, 7 – 8, 9, 10, 11, 12
1894, № 1 - 2, 3 – 4, 5, 6, 7";Акименко Титунова 28.07.2023
8а;33;"Русский вестник. 1894, № 8, 9 – 10, 11 – 12,
1895, № 1 - 2, 3 – 4, 8, 9, 10, 11, 12
1896, № 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12
1897, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11
1898, № 1";Акименко Титунова 28.07.2023
9а;33;"Русский вестник. 1898. № 2, 3, 4, 5, 6, 7, 8, 9, 10,
11, 12
1899. № 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
1990, № 1 - 2, 3 - 4, 5 – 6, 7- 8, 9 – 10, 11, 12
1901, № 1, 2, 3, 4";Акименко Титунова 28.07.2023
10а;40;"Русский вестник. 1901. № 5, 6, 7, 8, 9, 10, 11
1902. № 3 - 4, 5, 8, 10, 11, 12,
1903, № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
1904, № 2, 3, 6, 8, 9, 10
1905, № 1, 2, 3, 4, 5, 6, 7, 8, 10";Акименко Титунова 28.07.2023
5078;50;"Русское искусство. 2014. № 1,2,3,4,
Русское искусство. 2015. № 1,2,3,4,
Русское искусство. 2016. № 1,2,3,4,
Русское искусство. 2017. № 1,2,3,4,
Русское искусство. 2018. № 1,2,3,4,
Русское искусство. 2019. № 1,2,3,4,
Русское искусство. 2020. № 1,2,3,4,
Русское искусство. 2022. № 1,2,3,4, Северные просторы. 1996. № 1/2, Северные просторы. 1997. № 1/2, Северные просторы. 1999. № 1/2, 3/4,5/6, Северные просторы. 2000. № 2/3,4, Северные просторы. 2003. № 1/2,3/4, Северные просторы. 2004. № 1/2, 3/4, Северные просторы. 2005. № 3/4, Северные просторы. 2006. № 1/2, Частный интерьер. 2019. № 1,
Частный интерьер. 2021. № 2,
Счастливая свадьба. 2007. б/н Русский вестник. 1856. № т. 1,2.";Титунова Бережнова 27.07.2023
