Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
"7146
6496";32;"Дело 1868 8, 9, 11, 12; 1869 1, 2, 3, 5, 6, 7, 9, 11,
12; 1870 1, 3, 4, 6, 7, 9, 11, 12; 1871 6, 7, 8, 10;
1872 1, 2, 3, 4, 5, 7, 8";"С. Чевычалова, Н. Пинто
26.07.2023"
"7147
6497";29;"Дело 1872 6, 9, 12; 1873 1, 2, 4, 5, 7, 8, 9, 10, 12;
1874 2, 4, 6, 9; 1875 1, 3, 4, 7, 12; 1876 1, 2, 4, 6,
8, 9, 10, 11";"С. Чевычалова, Н. Пинто
26.07.2023"
"7148
6498";28;"Дело 1876 11; 1877 11; 1878 2, 3, 4, 9, 10, 11;
1879 1, 4,  6,  8, 10, 12;  1880 3, 7, 9, 10, 11;
1881 1; 1882 1, 1, 2, 5, 6, 7, 8, 11";"С. Чевычалова, Н. Пинто
26.07.2023"
"7149
6499";49;"Дело 1882 12; 1883 10; 1884 2, 3, 4, 5; 1884/85
6; Деревенский театр 1927 №1-5, 7-9 (1 кор.);
1928 1-8, 10-12; 1929 1-12; 1930 1-12; 1931 1-2;
Дружба народов 1950 № 4, 5, 6; 1951 1, 2, 3, 4,
5, 6; 1952 1, 3, 4, 5, 6; 1953 1, 2, 3, 4, 5, 6;  1954
1, 2, 3, 4, 5, 6; 1955 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12";"С. Чевычалова, Н. Пинто
26.07.2023"
6858;27;"Дом актера
1995 №1-9, 11-12; 1996 № 1-4, 12; 1997 №1, спец. вып., 5/6 (подшивка)
Дом актера 
2001 Ноябрь; 2002 № 68-70, 72 (подшивка)
2003 № 74, 75, 77-83 (подшивка)
2004 № 1-10 (подшивка)
2004 № 1-9 (подшивка)
2005 № 1-10 (подшивка)
2005 № 1, 3, 6 (подшивка)
2005 № 1-3, 5-6 (подшивка)
2006 № 1-4, 6-9 (подшивка)
2007 № 1 /4-11, 12; 2008 №4 (подшивка)
2008 № 1-7 (подшивка)
2009 № 1-3, 5, 11 (подшивка)
2009 № 2; 2010 № 1-5; 2011 №2-3; 2013 № 2, спец. вып. (подшивка)
2016 № 148/149, 150/151, 152/153 (подшив.)
Достоевский
1821
Звезды над паркетом 
2001 № 66, 8-15, 17-24 (подшивка)
2002 № 1-11, 13-17, 20 (подшивка)
2003 № 3/4 (подшивка)
2004 № 1-15 (подшивка)
2004 № 16-30 (подшивка)
2005 № 1-21 (подшивка)
2006 №18
2006 № 1-9, 11-12, 14, 15, 17 (подшивка)
2006 № 22-24 (подшивка)
2007 № 1
2007 № 2
2007 № 19-24, 3, 4 (подшивка)

";Пушкина 18.07.20023
22;62;"Дом и интерьер: 2015 № 1-2; 2016 № 1-2;
Дружба народов: 1956 №  1-12; 1957 № 1-12;
1958 №1-12; 1959 № 1-12; 1960 № 1-12";"Подготовил: Чернышева,
Ермаков 27.07.23., с 14-18"
23;60;"Дружба народов: 1961 № 1-12; 1962 № 1-12;
1963 № 1-12; 1964 № 1-12; 1965 № 1-12";"Подготовил: Чернышева, Ермаков
27.07.23., с 14-18"
24;67;"Дружба народов: 1966 № 1-12; 1967 № 1-12;
1968 № 1-12; 1969 № 1-12;
Жизнь искусства:  1921 № 1; 1922 № 1; 1923
№ 28, 30. 34, 38, 39, 41 43-45, 50; 1924 № 1, 2,
3, 4, 7, 8, 21";Подготовил: Чернышева, Ермаков 27.07.23., с 14-18
