Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6702;86;"Ландшафтный дизайн 2007 №5,6
Ландшафтный дизайн 2008 №1,2,3,4,5,6
Ландшафтный дизайн 2009 №1,2,3,4,5,6
Ландшафтный дизайн 2010 №1,2,3,4,5,6
Ландшафтный дизайн 2011 №1,2,3,4,5,6
Ландшафтный дизайн 2012 №1,2,3,4,5,6
Ландшафтный дизайн 2013 №1,2,3,4,5
Ландшафтный дизайн 2014 №1,2,3,4,5,6
Ландшафтный дизайн 2015 №1,2,3,4,5,6
Ландшафтный дизайн 2016 №1,2,3,4,5,6
Ландшафтный дизайн 2017 №1,2,3,4,5,6
Ландшафтный дизайн 2018 №1,2,3,4,5,6
Ландшафтный дизайн 2019 №1,2,3,4,5,6
Ленинград 1924 №1-9
Ленинград 1925 №1-12
Ленинград 1924 №2-7-12
Ленинград 1940 №1-24
Ленинград 1941 №1-12
Ленинград 1944 №1-14
Ленинград 1945 №6-12
Ленинград 1945 №4-5
Ленинград 1945 №6
Ленинград 1946 №1-11
Лапоть 1931 №2-11-12-19-21-24
Летопись войны 1914 №8
Летопись войны 1914/1915 №20-40

";Евдокимова Л.В.
33;62;"Лепта: 1997 - № 34 -39.
Летопись войны с Японией: 1904 –(13,15,17);
1905 – (51-55, 57-60), (61-70), (71-84).
Литература и искусство Узбекистана: 1938 -
1,2,3,4, 5/6.
Литература и искусство: 1931 - № 2/3, (4-8), 9/10, 11/12.
Литературная учеба: 1930 – 1-6; 1931 – 7,8;
1932 - № 4; 1934 – (1-3), (4-6), (7-10); 1935 – 1,
2/3, 4,5, 6, 7/8,9, 10; 1936 – 1-12;  1937 – 1-9,
10/11,12";Подготовил: Ковтуненко, Чабан 29.07.23.,
6703;49;"Летопись войны 1915 №3-25,52
Летопись войны 1915 №25-36
Летопись войны 1915 №56-60
Летопись войны 1915 №61-70
Летопись войны 1916 №74-77
Летопись войны 1916 №109-120
Летопись войны с Японией 1904 №1-10
Летопись войны с Японией 1904 №1-24
Летопись войны с Японией 1904 №25-48
Летопись войны с Японией 1905 №49-72
Летопись войны с Японией 1905 №73-84
Линия Балет 1999, декабрь
Линия Балет 2000 № 2-12,11,10,5
Линия Балет 2001 № 1-12
Линия Балет 2002 № 1-10
Линия Балет 2003 № 1-10
Линия Балет 2004 № 1-18,10
Линия Балет 2005 № 1-10,9
Линия Балет 2006 № 1-10
Линия Балет 2007 № 1-10,10,6
Линия Балет 2008 № 1-7, 10-11,11
Линия Балет 2009 № 1-10
Линия Балет 2010 № 1-10
Линия Балет 2011 № 1-10,1
Линия Балет 2012 № 1-10,10
Линия Балет 2013 № 1-10
Линия Балет 2014 № 1/2-10, 7
Линия Балет 2015 № 1-10
Линия Балет 2016 № 1-10
Линия Балет 2017 № 1/2-10
Линия Опера 2002 №1 
Линия Опера 2001 сент-окт, май-июнь (2), март,

";Евдокимова Л.В.
34;70;"Литературная учеба: 1938 – (1,3),2, (4-6),7-12;
1939 – 1-7, 8/9, 10,11,12; 1940 – (1-3), (4-6),(7-
9), (10-12); 1941 – (1-4), (5-8); 1991 – 1-5; 1992
– 4, 5/6; 1993 – Кн.1-4, 5/6; 1994 – 1-6; 1995 -
1,2/3, 4, 5/6; 1996 – 1 -4, 5/6; 1997 – 1-4, 5/6;
1998 – 1-3, 4/5/6;
Литературно-художественный сборник
«Красной панорамы»: 1928 – (апр.-дек.), (5,6,8,9,11,12); 1929 – (янв.-июнь), (7,8,10-12),
окт.
Литературное обозрение: 1936  - (1-5,7-8), 10-
16), (17-24)";Подготовил: Ковтуненко, Чабан 29.07.23.,
6704;27;"Литературное обозрение 1973 №1-6 Литературное обозрение 1973 №7-12 Литературное обозрение 1974 №1-6 Литературное обозрение 1974 №7-12 Литературное обозрение 1975 №1-6 Литературное обозрение 1975 №7-12 Литературное обозрение 1976 №8-12 Литературное обозрение 1976 №1-6 Литературное обозрение 1977 №1-6 Литературное обозрение 1977 №7-12 Литературное обозрение 1978 1-6 Литературное обозрение 1978 №7-12 Литературное обозрение 1979 №1-3,5 Литературное обозрение 1979 №4 Литературное обозрение 1979 №9 Литературное обозрение 1979 №6-8,10-12 Литературное обозрение 1980 №1-6 Литературное обозрение 1980 №7-12 Литературное обозрение 1982 №7-12 Литературная учеба 1991 №6,5,4,3,2,1 Листки курсов ритмической гимнастики 1914 №6
Листки курсов ритмической гимнастики
1913 №1-2";Евдокимова Л.В.
6705;125;"Литературное обозрение 1982 №1-6
Литературное обозрение 1981 №9-12
Литературное обозрение 1981 №8
Литературное обозрение 1981 №2-7
Литературное обозрение 1981 №1
Литературное обозрение 1984 №1-6
Литературное обозрение 1983 №7-12
Литературное обозрение 1983 №1-6
Литературное обозрение 1984 №7-12
Литературное обозрение 1985 №1-6
Литературное обозрение 1985 №7-12
Литературное обозрение 1986 №1-6
Литературное обозрение 1986 №7-12
Литературное обозрение 1986 №1-6
Литературное обозрение 1982 №7-12
Литературное обозрение 1989 №7
Литературное обозрение 1988 №6
Литературное обозрение 1993 №1-6
Литературное обозрение 1993 №7-12
Литературное обозрение 1994 №1-6
Литературное обозрение 1994 №7-12
Литературное обозрение 1995 №1-3
Литературное обозрение 1995 №4-5
Литературное обозрение 1996 №1-3
Литературное обозрение 1996 №4-6
Литературное обозрение 1997 №1,2,3,4,5,6
Литературное обозрение 1998 №1,2,3,4/5,
Литературное обозрение 1999 №1,2,3,4
Ленинград 1946 №3-4
";Евдокимова Л.В.
35;46;"Литературное обозрение: 1937 – (1-8), (9-16),
(17-24); 1938 – (1-8), (9-16), (18-24); 1939 – (1-
8), (9-16), (17-24); 1940 – (1-8), (9,11-16), (17-
24); 1941 – (1-6), (7-12).
Литературный журнал: 1881 – (2,3,4,6), (7-
12)
Литературный критик: 1933 – 1-7; 1934 – 1-
6,7/8, 9 -12; 1935 – 1-12";Подготовил: Ковтуненко, Чабан 29.07.23.,
6706;81;"Литературные вечера 1907 №5
Литературные записки 1922 №1-3
Литературный журнал 1992 А
Литературный журнал  2005 №1-2, 3-4
Литературный журнал  2006 №1-2, 3-4,5-6,7-8,9-10,11-12
Литературный мix 2007 № 4,12
Литературный мix 2008 № 3,7
Литературный мix 2010 № 1
Литературный мix 2012 № 1
Литературные знакомства 2021 №8
Литературные знакомства 2022 №2,3,4,5,6,7,8,11,12
Литературные знакомства 2023 №1,2,3,4
Литературный факт 2016 №1-2
Литературный факт 2021 №2,4
Литературный факт 2022 №1,2
Литературный факт 2023 №1
Лица 2022 №8,12
Лица 2023 №1/2,3,4
Личности 2013 № 6,7,8,9,10
Личности и культура 2016 №6
Личности и культура 2018 №3,4
Личности и культура 2019 №3
Личности и культура 2020 №1,2,3,4,5,6
Личности и культура 2021 №1,2
Личности и культура 2022 №1,2,3,4,5,6
Личности и культура 2023 №1,2
Личность культура общество 2007 1,2,3,4
Личность культура общество 2008 1,2,3/4, 5/6
Личность культура общество 2009 1,2,3,4
";Евдокимова Л.В.
36;63;"Литературный критик: 1936 – 1-12; 1937 – 1-
9, 10/11, 12; 1938 – 1- 8,9/10, 11,12; 1939 – 1 -4,
5/6, 7, 8/9, 10/11,12; 1940 – 1,2, 3/4, 5/6,
7/8,9/10, 11/12.
Литературный современник: 1933 – 2/3,8; 1934 – 6, 7,8,9, 12; 1935 – 1,2, 3, 4, 5, 7";Подготовил: Ковтуненко, Чабан 29.07.23.,
37;72;"Литературный современник: 1935 – 8,9, 10,
11, 12; 1936 – 1 -7, 10, 12; 1937 – 1 – 12; 1938 –
1-12; 1939 – 1, 3,4, 5/6, 7/8, 9, 10/11,12; 1940 –
1-4, 5/6, 7, 8/9, 10/11,12; 1941 – 1 -6.
Любовь к трем апельсинам – 1914 – (1-7);
Место печати: 1992 -1 -7, 9,9,10";Подготовил: Ковтуненко, Чабан 29.07.23.,
6716;92;"Любовь к трем апельсинам 1914 №1-7,  
Любовь к трем апельсинам 1915  № 1-2-3, 1-2-3, 4-7
Любовь к трем апельсинам 1916  №2-3,2-3, 2-3, 1
Луч 1981 №3-42-44-52
Магазин 1997 №2,10,11,12,16,17,18,19,21,22,23,24,
25,27,28,29,30
Магазин 1998 №31,32,33,34,
Магазин 1999 №37,38,39
Магазин 2000 №40,41,42,43,44
Магазин 2001 №45,46,47,48
Магазин 2002 №49
Малые формы клубного зрелища 1929 №11,10,9,8,7,6,5,4,3,2
Малые формы клубного зрелища 1929№1-12
Малые формы клубного зрелища 1928 №11,11,11
Малые формы клубного зрелища 1930 №13-24
Малые формы клубного зрелища 1930 №23-24,21-22,20,18-19,17,16,14,13,12
Маляр 1876 №23-33-36-48-46-48
Маляр 1875 №1-35-37-40-42-50
Маляр 1872 №1-6-8-39-41-50
Манускрипт 2018 №5,6,7,8,3,9,11,12,12
Манускрипт 2019 №11,11,12,10,10,8,7,6,5,4,3,2,1
";"Евдокимова Л.В.,
Титунова И.Б."
