Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6822;46;"Филателия
2018 №№ 1,2,3,4,5,6,7,8,9,10,11,12
2019 №№ 1,2,3,4,5
Философия и культура
2016 №№ 1,2,3,4,5,6,7,8,9,10,11,12
Фильм
2002 № 63-68, 69-74 (подшивки)
2003 № 7-12, 75-79/80 (подшивки)
2004 № 1-6, 7-12 (подшивки)
2008 № 1-12 (подшивка)
2009 № 1-12(подшивка)
2010 № 1-4, 5-12(подшивки)
2011 № 1-12 (подшивка)
2012 № 1-12 (подшивка)
2013 № 4-12 (подшивка)
2014 № 1, 2-12 (подшивки)
2015 №№ 1/2, 3, 4/5";"Заигрова Коваленко
12.07.2023"
5061;97;"Философские науки – 2013 -№ 4 – 12; 2014
-№ 1- 12; 2015- № 1 – 12; 2016 - № 1-12; 2017 -
№ 1 – 12; 2018 - № 1 – 11; 2019 - № 1 -11; 2020
- № 4; 2021 – № 3, 4; 2022 - № 2,3.
Фильм 2005 - № (1-2 -12); 2006 (1-2 – 12);
2007 – (1-2 – 12); 2014 - № 4.
Футум АРТ – 2007 - № (1-2), (1-2), 3; 2008 -
№ 1, (2-3), 2009 - № (1 -2)
Художественная жизнь – 1919 - № 1 (2
экз.); 1920 – (2-5) – 2 экз.";"27.07.2023
Акименко А.В. Ковтуненко М.П."
6823;42;"Фольклор 2019 № 3
2020 №2
2021 №№ 2, 4
2022 №№ 1,2,3
Формула танца 2021 № 1
Фотограф 1929 № 7
1928 № 5-6
Фотография 1967 № 1
1973 №№ 1-4 (подшивка)
1974 № 1-4 (подшивка)
1975 № 1-2, 3-4 (подшивки)
1976 № 1-4 (подшивка)
1977 № 1-4 (подшивка)
1978 № 1-4 (подшивка)
1995 №№ 4,6
1996 №№ 1, 2/3, 4, 5, 6
1997 №№ 1, 2, 3, 5/6
1998 № 1
Фотодело
2004 №№ 1,2, 3 4,5,6,7,8,9,10, 11, 12";"Заигрова Коваленко
12.07.2023"
6824;78;"Фотодело
2005 №№ 1,2,3, 4,5,6,7,8,9,10, 11, 12
2006 №№ 1,2,3, 4,5,6,7,8,9,10, 11, 12
2007 №№ 2,3, 4, 5 ,6,7,8,9,10, 11, 12
2008 №№ 1/2,3, 4,5,6,7/8,9,10, 11, 12
2009 №№1/2,3, 4, 5/6, 7/8, 9, 10, 11/12
2010 №№1/2,3, 4, 5, 6
Фотопроарт коллекция 2005 № 1
Фронтовой юмор
1942 № 1-3, 6-12, 15 (подшивка) Хит парад
2004 №№ 1,2,3,4
Хронограф 2001 № 1
2002 № 1
2005 № 2
2006 № 11, 12
2007 № 13
2011 № 14
Художественная жизнь 1919 № 1(2 экз.)
1920 № 2-5 (подшивка), №№2, 3, 4/5 Художественное образование
1931 № 5";"Заигрова Коваленко
12.07.2023"
