Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6820;54;"Университетский научный журнал 2021 №№ 61, 63, 64, 65
2022 №№ 66, 67, 68, 69, 70, 71
2023 №№ 72, 73
Урал
2020 № № 1-12
2021 №№ 1-12
2022 №№ 1-12
2023 №№ 1-6";"Заигрова Коваленко
12.07.2023"
6821;103;"Управление культурой 
2022 №№ 1,2,3,4
2023 №1
Уральский альманах предметов коллекционирования
2013 № 1, № 3-4 (подшивка), № 5
2014 № 6, 7, 8
2015 № 9, 10
2016 № 11
Ученые записки российской академии музыки им. Гнесина
2015 №№ 2, 4
2016 №№ 3, 4
2017 №№ 1, 2, 3, 4
2018 №№ 1, 2, 3, 4
2019 № 4
2020 № 4
2021 №№ 3, 4
2022 №№ 1, 2, 3, 4
2023 № 1
Ученые записки (Алтайская гос. академия культуры и искусств)
2018 № 3
2019 №№ 1, 4
2020 № 2
Учитель музыки
2017 №№ 1, 2, 3, 4
2018 №№ 1, 2, 3, 4
2019 № 1
Учреждение культуры и искусства: бухгалтерский учет и налогооблажение
2022 №№ 7, 8
Фигурное катание
2004 № 1-4 (подшивка)
Филателия
2012 №№ 6, 8,9
2013 № 7-12 (подшивка)
2014 №№ 1,2,3,4,5,6,7,8,9,10,11,12
2015 №№ 1,2,3,4,5,6,7,8,9,10,11,12
2016 №№ 1,2,3,4,5,6,7,8,9,10,11,12
2017 №№ 1,2,3,4,5,6,7,8,9,10,11,12




";"Заигрова Коваленко
12.07.2023"
