Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
21а;35;"Новый мир. 1949 №. 6, 7,  8,  9, 10, 11, 12.
1950. № 1, 2, 3, 4, 5, 6, 7, 10, 11, 12.
1951. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1952. № 1, 2, 3, 4, 5, 6.";"Фомичева Косова Лукина
29.07.2023"
22а;23;"Новый мир. 1952. № 7, 8, 9, 10, 11, 12.
1953. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1954. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1955. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10).";"Фомичева Косова Лукина
29.07.2023"
23а;32;"Новый мир. 1955. № (11, 12).
1956. № (1, 2), (3, 4), (5, 6, 7), (8, 9, 10), (11, 12).
1957. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1958. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1959. № 1, 2.";Фомичева Косова Лукина 29.07.2023
24а;42;"Новый мир. 1959. № 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1960. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12.
1961. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1962. № 1, 2, 3, 4, 5, 6, 7, 8, 9.";"Фомичева Косова Лукина
29.07.2023"
25а;44;"Новый мир. 1962. № 10, 11, 11, 12.
1963. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11.
1964. № 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1965. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1966. № 1, 2, 3, 4, 5, 6.";Фомичева Косова Лукина 29.07.2023
26а;43;"Новый мир. 1966. № 7, 8, 9, 10, 11, 12.
1967. № 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1968. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1969. № 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12.
1970. № (1, 2), (3, 4), (5, 6)";Фомичева Косова Лукина 29.07.2023
27а;21;"Новый мир. 1970. № (7, 8), (9, 10), (11, 12).
1971. № (1, 2), (3, 4), (5, 6), (9, 10), (11, 12).
1972. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1973. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1974. № (1, 2).";Фомичева Косова Лукина 29.07.2023
28а;26;"Новый мир. 1974. № (3, 4), (7, 8), (9, 10), (11, 12).
1975. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1976. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1977. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1978. № (1, 2), (3, 4), (5, 6), (7, 8).";Фомичева Косова Лукина 29.07.2023
29а;22;"Новый мир. 1978. № (9, 10), (11, 12).
1979. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1980. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1981. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1982. № (1, 2), (3, 4).";Фомичева Косова Лукина 29.07.2023
30а;25;"Новый мир. 1982. № (5, 6), (7, 8), (9, 10), (11, 12).
1983. № (1, 2), (3, 4), ( 5, 6), (7, 8), (9, 10), (11, 12).
1984. № (1, 2), (3, 4) ,( 5, 6), (7, 8), (9, 10), (11, 12).
1985. № (1, 2), (3, 4) ,( 5, 6), (7, 8), (9, 10), (11, 12).
1986. № (1, 2), (3, 4), (5, 6)";Фомичева Косова Лукина 29.07.2023
31а;23;"Новый мир. 1986. № (7, 8), (9, 10), (11, 12).
1987. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1988. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1989. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10).
1990. № 7.
1991. № (1, 2), (3, 4).";Фомичева Косова Лукина 29.07.2023
32а;27;"Новый мир. 1991 № (5, 6), (7, 8), (9, 10), (11, 12).
1992. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1993. № (1, 2), (3, 4), (5, 6), (7, 8), (9, 10), (11, 12).
1994. № (1, 2), (3, 4), (5, 6), (7, 8), 9, 10, (11, 12).
1995. № (1, 2), (3, 4), (5, 6).
1974. № (5, 6).";Фомичева Косова Лукина 29.07.2023
33а;48;"Новый мир. 1995. № (7, 8), 9, 10, 11, 12.
1996. № 2, (3, 4), 5, 6, (7, 8), (9, 10), (11, 12).
1997. № 1, 2, 3, 4, 5,  6, 7, 8, 9, 10, 11, 12.
1998. № 1, 1, 2, 2, 3, 4, 5, 6, 6, 7, 8, 9, 10, 11, 12.
1999. № 1, 2, 3, 4, 5, 6, 7, 8, 9.";Фомичева Косова Лукина 29.07.2023
34а;54;"Новый мир. 1999. № 10, 11, 12.
2000. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
2001. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
2002. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
2003. № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12.
2004. № 1, 2, 3.";Фомичева Косова Лукина 29.07.2023
35а;69;"Новый мир. 2004, № 4,5,6,7,8,9,10,11,12; 2005, №
1,2,3,4,5,6,7,8,9,10,11,12; 2006, № 1,2,3,4,5,6,7,8,9,
10,11,12; 2007, № 1,2,3,4,5,6,7,8,9,10,11,12; 2008, №
1,2,3,4,5,6,7,8,9,10,11,12; 2009, № 1,2,3,4,5,6,7,8,9,
10,11,12";Початкина Ермаков 29.07.2023
36а;74;"Новый мир. 2010, № 1,2,3,4,5,6,7,8,9,10,11,12;
2011, № 1,2,3,4,5,6,7,8,9,10,11,12; 2012, № 1,2,3,4,
5,6,7,8,9,10,11,12; 2013, № 1,2,3,4,5,6,7,8,9,10,11,12;
Новый топонимический журнал. 2005, № 1,
3/4; 2006, № 1,2,3; 2007, №1,2;
Новь. 1885, т.3, № 11;
Нева. 2017, № 1,2,3,4,5,6,7,8,9,10,11,12; 2016, №
7,8,9,10,11,12";Початкина Ермаков 29.07.2023
