Номер коробки;"КОЛ-ВО
экз. в коробке";"Обзорное описание изданий
(Название, год и номера или подшивки)";Примечания
6574;40;"Интерпресс график 1988, №1-4;
Интерьер + дизайн 2010; № декабрь-январь 2010-2011, февраль №2; октябрь 2010; ноябрь
2010; декабрь-январь 2010-2011; сентябрь
2010; июль-август 2010; июнь 2010; май 2010;
апрель 2010; март 2010;
Февраль 2011; март 2011; апрель 2011; май
2011; июнь 2011; июль-август 2011; сентябрь
2011; октябрь 2011; май 2012; апрель 2012;
март 2012; февраль 2012; ноябрь 2012;
декабрь-январь 2011-2012; ноябрь 2011; май
2013; октябрь 2012; сентябрь 2012; июль-
август 2012; июнь 2012; апрель 2013; декабрь-
январь 2012-2013; ноябрь 2013; октябрь 2013;
сентябрь 2013; июнь 2013; июль-август 2013;";Комарова Н.Ю Шейнин М.Ю.
6575;58;"Интерьер + дизайн. Июнь 2014; май 2014; апрель 2014; март 2014; февраль 2014;
декабрь-январь 2013-2014; апрель 2015; март
2015; февраль 2015; май 2015; июнь 2015;
июль-август 2015; сентябрь 2015; октябрь
2015; ноябрь 2015;
Июнь 2016; май 2016; апрель 2016; март 2016;
февраль 2016; декабрь-январь 2015-2016;
Инфоскоп. № 269, декабрь 2019; № 234, март
2017; № 235, апрель 2017; № 240, сентябрь
2017; № 242, ноябрь 2017; № 243, декабрь 2017; Интерьер + дизайн. Февраль 2017; Иные берега. № 4 (8) 2007; № 3 (7) 2007; №2 (6) 2007;
№ 1 (5) 2007; № 3 2006; №21 2006; № 2 (14) 2009;
№ 4(16) 2009; № 3(15) 2009; № 1 (13) 2009; №
4(12) 2008; № 3 (11) 2008; № 2 (10) 2008; № 1 (9)
2008; №4(24)2011; №2 (22) 2011; №1(21)2011;
№4(20)2010; №3 (19)2010; №2 (18) 2010; №1 (17)
2010; №1 (29)2013; №2(30) 2013; №1 (25) 2012;
№3 (27) 2012; №4 (28) 2012; №2 (26) 2012;";Комарова Н.Ю Шейнин М.Ю. Рейтблат А.И.
6591;69;"Искусство      кино      1993      г.,      номер      9-10,
подшивка; 11-12.
Искусство кино 1994 г., весь год. Искусство кино 1995., весь год. Искусство кино 1996, весь год
Искусство кино 1997, весь год Искусство кино 1998, весь год
Искусство кино 1999, номер 1-11.";"Суслова Е.В. Евдокимова Л.В.
Пинто- Бакерисо Н.В."
6592;62;"Искусство      кино,     2000-2003     гг.     (полные годовые комплекты).
Искусство кино,1997 номер 8; 1999 номер 12
Искусство      кино,     2004-2005     гг.     (полные
годовые комплекты).";"Суслова Е.В. Евдокимова Л.В.
Пинто- Бакерисо Н.В."
6576;52;"Искусство 1918г. №1-4 (2 экз); Искусство 6-5 1929г.; Искусство №3 1940; Искусство №1/1992; Искусство №1-3 2003; Искусство №4-6 2003; Искусство №1-2 2005 январь-апрель; Искусство №4 2005; Искусство №3 2005; Искусство №2 2005; Искусство №1 2005; Искусство №5 2004; Искусство №3 2004; Искусство №1 2006; Искусство №2 2006; Искусство №3 2006; Искусство №4 2006; Искусство №5 2006; Искусство №5 2005; Искусство №6 2005; Искусство №6 2006; Искусство №1 2007; Искусство №2 2007; Искусство №3 2007; Искусство №4 2007; Искусство №5 2007; Искусство №6 2007; Искусство №1 2008; Искусство №2 2008; Искусство №3 2008; Искусство №4 2008; Искусство №5 2008; Искусство №6 2008; Искусство №1/2 2009; Искусство №3 2009; Искусство №4/5 2009; Искусство №6 2009; Искусство №1 2010; Искусство №2/3 2010; Искусство №4 2010; Искусство №5/6 2010; Искусство №1 2011; Искусство №2/3 2011; Искусство №4/5 2011; Искусство №1 2012; Искусство №2 2012; Искусство №3 2012; Искусство №4 2012; Искусство №1 2013; Искусство №2 2013; Искусство №2 2013; Искусство №3 2013";"Комарова Н.Ю
Шейнин М.Ю.
Рейтблат А.И.
"
5004;9;"Искусство №4 2013; Искусство Практика. Специальный проект; Искусство №1 2014; Искусство №4 2014; Искусство № 3 2014; Искусство №2 2014; Искусство №4 2016; Искусство №2 2016; Искусство №1 2016; Искусство №4 2015; Искусство №3 2015; Искусство №2 2015; Искусство №1 2015; Искусство №3 2016; Искусство №1 2017; Искусство №2 2017; Искусство №3 2017; Искусство №4 2017; Искусство №1 2018; Искусство №2 2018; Искусство №3 2018; Искусство №4 2018; Искусство №1 2019; Искусство №2 2019; Искусство №3 2019; Искусство №4 2019; Искусство №1-2 2020; Искусство №3 2020; Искусство №4 2020; Искусство №1 2021; Искусство №2 2021; Искусство №3 2021; Искусство: Учебно-методический журнал №9 2012; Искусство: Учебно-методический журнал №1-8, 9, 10 2012; Искусство: Учебно-методический журнал №1-12 2015; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №2 2014; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №3 2014; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №4 2014; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №5-6 2014; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №1-12 2013; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №2 2014;";"Евдокимова Л. В.,
Чевычалова С.Н."
6577;41;"Искусство №4 2013; Искусство Практика. Специальный проект; Искусство №1 2014; Искусство №4 2014; Искусство № 3 2014; Искусство №2 2014; Искусство №4 2016; Искусство №2 2016; Искусство №1 2016; Искусство №4 2015; Искусство №3 2015; Искусство №2 2015; Искусство №1 2015; Искусство №3 2016; Искусство №1 2017; Искусство №2 2017; Искусство №3 2017; Искусство №4 2017; Искусство №1 2018; Искусство №2 2018; Искусство №3 2018; Искусство №4 2018; Искусство №1 2019; Искусство №2 2019; Искусство №3 2019; Искусство №4 2019; Искусство №1-2 2020; Искусство №3 2020; Искусство №4 2020; Искусство №1 2021; Искусство №2 2021; Искусство №3 2021; Искусство: Учебно-методический журнал №9 2012; Искусство: Учебно-методический журнал №1-8, 9, 10 2012; Искусство: Учебно-методический журнал №1-12 2015; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №2 2014; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №3 2014; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №4 2014; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №5-6 2014; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №1-12 2013; Искусство: Учебно-методический журнал для учителей МХК, музыки и ИЗО №2 2014;";Комарова Н.Ю Шейнин М.Ю. Рейтблат А.И.
6579;44;"Искусство в школе 1997г. 1 - 5;
Искусство в школе 1998г. 1 - 6;
Искусство в школе 1999г. 4 - 6;
Искусство в школе 2000г. 2;
Искусство в школе 2000г. 3;
Искусство в школе 2001г. 1 - 5;
Искусство в школе 2001г. 6;
Искусство в школе 2002г. 1-6;
Искусство в школе 2003г. 1-5;
Искусство в школе 2004г. 1-6;
Искусство в школе 2004г. 5; Искусство в школе 2005г. 1-6; Искусство в школе 2006г. 1-6; Искусство в школе 2007г. 1-6; Искусство в школе 2008г. 1-4; Искусство в школе 2008г. 5-6; Искусство в школе 2009г. 1-6 + приложение; Искусство в школе 2008г. 5-6; Искусство в школе 2009г. 1-6 + приложение «Разное кино»; Искусство в школе 2010г. 1-6; Искусство в школе 2011г. 1; Искусство в школе 2011г. 2; Искусство в школе 2011г. 3; Искусство в школе 2011г. 4; Искусство в школе 2011г. 5; Искусство в школе 2011г. 6; Искусство в школе 2012г. 1; Искусство в школе 2012г. 2; Искусство в школе 2012г. 3; Искусство в школе 2012г. 4; Искусство в школе 2012г. 5; Искусство в школе 2012г. 6; Искусство в школе 2013г. 3; Искусство в школе 2013г. 4; Искусство в школе 2013г. 5; Искусство в школе 2013г. 6; Искусство в школе 2013г. 7; Искусство в школе 2014г. 1; Искусство в школе 2014г. 2; Искусство в школе 2014г. 3; Искусство в школе 2014г. 4; Искусство в школе 2014г. 5; Искусство в школе 2014г. 6; Искусство в школе. Приложение. Музыка в кино. 2005г. №6. 
";Комарова Н.Ю Шейнин М.Ю. Рейтблат А.И.
6580;73;"Искусство в школе 2015г.  1-6;
Искусство в школе 2016г.  1-6;
Искусство в школе 2017г.  1-6;
Искусство в школе 2018г.  1-6;
Искусство в школе 2019г.  1-6;
Искусство в школе 2020г.  1-6;
Искусство в Южной России 1913 г.
Искусство и жизнь 1923 г., номер 1;
Искусство и жизнь 1938 г., номер 1-12;
Искусство и жизнь 1939 г., номер 1-6;
Искусство и жизнь 1939 г., номер 7-12;
Искусство и жизнь 1940 г., номер 1-12;
Искусство и жизнь 1941 г., номер 1-6;
Искусство и образование 2017 г., 1-6; 
Искусство и образование 2018 г., 1-6; 
Искусство и образование 2019 г., 1-6;
Искусство и образование 2020г., 1-6; 
";"Суслова Е.В. Евдокимова Л.В.
Пинто- Бакерисо Н.В."
6581;20;"Искусство и образование 2021г., 1-6; 
Искусство и образование 2022г., 1; 
Искусство и художественная промышленность 1900 – 1901г, подшивка, номера 1-3 (1900 г), номера 4 – 12 (1901);
Искусство и художественная промышленность 1900, номер 22;
Искусство и художественная промышленность 1899 – 1900г, подшивка; 1;
Искусство и художественная промышленность 1900 г., номер 21;
Искусство и художественная промышленность 1899 г. ,номер 7;
Искусство и художественная промышленность 1899 г., номер 6-7, подшивка;
Искусство и художественная промышленность 1899 г, номер 6;
Искусство и художественная промышленность 1899, номер 4-5, подшивка;
 Искусство и художественная промышленность 1900 г., номер 17;
Искусство и художественная промышленность 1899 г., номер 12;
Искусство и художественная промышленность 1899 г, номер 11;
Искусство и художественная промышленность 1899 г. ,номер 9-10, подшивка;
Искусство и художественная промышленность 1899 г. ,номер 8-10, подшивка;
Искусство и художественная промышленность 1898 г. ,номер 1-2, подшивка;

";"Суслова Е.В. Евдокимова Л.В.
Пинто- Бакерисо Н.В."
